Brand,Film Type,Chart Letter,DX Number
Agfa,Apx 100,N,017711
Agfa,Apx 400,R,017712
Arista,.Edu 100,M,
Arista,.Edu 200,O,
Arista,.Edu 400,R,
Arista,.Edu Ultra 100,N,013954
Arista,.Edu Ultra 200,L,
Arista,.Edu Ultra 400,Q,013994
Arista,II 100,N,
Arista,II 400,R,
Bergger,BRF / BPF 200,P,
Efke / Adox,KB25 **,J,002724
Efke / Adox,KB50,N,
Efke / Adox,KB100,O,002724
Efke / Adox,KB400,R,
Fuji,Acros 100,O,100004
Fuji,Neopan SS 100,N,000004
Fuji,Neopan 400,N,000000
Fuji,Neopan 1600,P,
Foma,Fomapan 100,N,013954
Foma,Fomapan 200,L,013984
Foma,Fomapan 400,Q,013994
Forte / J&C,Fortepan 100,M,
Forte / J&C,Fortepan 200,O,
Forte / J&C,Fortepan 400,R,
Ilford,PanF+,N,017570
Ilford,FP4+,N,017570
Ilford,HP5+,O,017530
Ilford,Delta 100,N,017590
Ilford,Delta 400,P,017520
Ilford,Delta 3200 *,S,017380
Ilford,SFX200,O,017350
Kentmere,K100,N,017701
Kentmere,K400,P,017703
Kodak,125PX,N,010280
Kodak,400TX,O,110294
Kodak,100TMX,O,010733
Kodak,400TMY,P,310804
Kodak,400TMY-2,P,310804
Kodak,3200TMZ *,S,010810
Kodak,Infrared (HSI) *,P,
Kodak,320TXP,N,
Kodak,Eastman Double-X,O,
Maco,UP25+ **,J,
Maco,UP100+,O,000231
Maco,UP400+,O,
Maco,Cube 400,R,